iter	Accuracy	Logloss
1806	0.8514524015	0.3146209303
1807	0.8513085994	0.3145960041
1808	0.8513085994	0.3145493603
1809	0.8513085994	0.3145097909
1810	0.8513085994	0.314487407
1811	0.8513085994	0.314455403
1812	0.8513085994	0.314433015
1813	0.8513085994	0.314395034
1814	0.8513085994	0.3143739081
1815	0.8513085994	0.3143183564
1816	0.8513085994	0.3142918259
1817	0.8513085994	0.3142716682
1818	0.8513085994	0.3142473452
1819	0.8513085994	0.314205935
1820	0.8513085994	0.3141888335
1821	0.8514524015	0.3141207915
1822	0.8514524015	0.3140766472
1823	0.8514524015	0.3140468545
1824	0.8514524015	0.3140156566
1825	0.8514524015	0.3139947624
1826	0.8514524015	0.3139661554
1827	0.8515962036	0.3139218561
1828	0.8515962036	0.3138826434
1829	0.8515962036	0.3138390868
1830	0.8515962036	0.3138058864
1831	0.8515962036	0.3137623335
1832	0.8515962036	0.313724903
1833	0.8517400058	0.3136761108
1834	0.8518838079	0.3136281763
1835	0.8518838079	0.3136112838
1836	0.8518838079	0.313589148
1837	0.85202761	0.3135383594
1838	0.85202761	0.313472625
1839	0.8526028185	0.3134176741
1840	0.8524590164	0.3133693685
1841	0.8524590164	0.3133326492
1842	0.8526028185	0.3132955459
1843	0.8527466206	0.3132749879
1844	0.8527466206	0.3132323078
1845	0.8527466206	0.3132011629
1846	0.8528904228	0.3131518326
1847	0.8528904228	0.3131248507
1848	0.8528904228	0.3130700025
1849	0.853178027	0.3130194005
1850	0.8530342249	0.3129786223
1851	0.8530342249	0.3129391433
1852	0.8533218292	0.3129196899
1853	0.8533218292	0.3128658181
1854	0.8533218292	0.3128352953
1855	0.8533218292	0.3127872029
1856	0.8533218292	0.3127442266
1857	0.8534656313	0.3126955252
1858	0.8534656313	0.312677904
1859	0.8534656313	0.3126442385
1860	0.8534656313	0.3126209404
1861	0.8534656313	0.3125983392
1862	0.8534656313	0.3125560497
1863	0.8534656313	0.3125243509
1864	0.8534656313	0.3124860469
1865	0.8536094334	0.3124237371
1866	0.8536094334	0.3123945883
1867	0.8536094334	0.3123656059
